batter,total_runs,balls_faced,innings_played,strike_rate,avg_per_innings
KL Rahul,4683,3572,122,131.10302351623739,38.385245901639344
RD Gaikwad,2380,1781,65,133.63279056709715,36.61538461538461
SE Marsh,2477,1908,69,129.82180293501048,35.89855072463768
DA Warner,6565,4844,184,135.52848885218827,35.67934782608695
CH Gayle,4965,3502,141,141.7761279268989,35.212765957446805
ML Hayden,1107,838,32,132.10023866348448,34.59375
MEK Hussey,1977,1648,58,119.96359223300972,34.08620689655172
JC Buttler,3582,2517,106,142.31227651966628,33.79245283018868
F du Plessis,4571,3435,138,133.07132459970887,33.1231884057971
V Kohli,8004,6232,244,128.4338896020539,32.80327868852459
Shubman Gill,3216,2432,99,132.23684210526315,32.484848484848484
JM Bairstow,1589,1132,50,140.37102473498234,31.78
CA Lynn,1329,974,42,136.4476386036961,31.642857142857142
H Klaasen,993,613,32,161.99021207177816,31.03125
YBK Jaiswal,1607,1095,52,146.7579908675799,30.903846153846153
