season,total_runs,runs_per_over
2008,1.2098572266770975,7.259143360062585
2009,1.1110446570972887,6.666267942583732
2010,1.2379603399433428,7.427762039660056
2011,1.1262028711153178,6.757217226691907
2012,1.1454771526266707,6.872862915760024
2013,1.1053747161241483,6.63224829674489
2014,1.1986590038314175,7.191954022988505
2015,1.2246062992125983,7.34763779527559
2016,1.2205797657899788,7.323478594739873
2017,1.3069558421258305,7.8417350527549825
2018,1.3310185185185186,7.986111111111112
2019,1.2878048780487805,7.726829268292683
2020,1.2191151120475006,7.314690672285003
2021,1.2262225644974971,7.357335386984983
2022,1.2354402857586582,7.412641714551949
2023,1.36828125,8.2096875
2024,1.4788845905867183,8.87330754352031
