team,wins,total,win_rate
Pune Warriors,12,46,0.2608695652173913
Gujarat Lions,13,30,0.43333333333333335
Sunrisers Hyderabad,117,257,0.45525291828793774
Punjab Kings,112,246,0.45528455284552843
Delhi Capitals,115,252,0.45634920634920634
Royal Challengers Bengaluru,123,255,0.4823529411764706
Rising Pune Supergiants,15,30,0.5
Rajasthan Royals,112,221,0.5067873303167421
Kolkata Knight Riders,131,251,0.5219123505976095
Lucknow Super Giants,24,44,0.5454545454545454
Mumbai Indians,144,261,0.5517241379310345
Chennai Super Kings,138,238,0.5798319327731093
Gujarat Titans,28,45,0.6222222222222222
