venue,toss_win_rate,matches,venue_short
"Rajiv Gandhi International Stadium, Uppal",0.3469387755102041,49,"Rajiv Gandhi International Stad., Uppal"
Dubai International Cricket Stadium,0.391304347826087,46,Dubai International Cricket Stad.
"MA Chidambaram Stadium, Chepauk, Chennai",0.42857142857142855,28,"MA Chidambaram Stad., Chepauk, Chennai"
"Punjab Cricket Association Stadium, Mohali",0.45714285714285713,35,"Punjab CA Stad., Mohali"
"Narendra Modi Stadium, Ahmedabad",0.5,24,"Narendra Modi Stad., Ahmedabad"
Wankhede Stadium,0.5068493150684932,73,Wankhede Stad.
Sheikh Zayed Stadium,0.5172413793103449,29,Sheikh Zayed Stad.
"MA Chidambaram Stadium, Chepauk",0.5208333333333334,48,"MA Chidambaram Stad., Chepauk"
Feroz Shah Kotla,0.5254237288135594,59,Feroz Shah Kotla
Sawai Mansingh Stadium,0.5319148936170213,47,Sawai Mansingh Stad.
"Dr DY Patil Sports Academy, Mumbai",0.55,20,Dr DY Patil Sports Academy
M Chinnaswamy Stadium,0.5555555555555556,63,M Chinnaswamy Stad.
"Wankhede Stadium, Mumbai",0.5555555555555556,45,Wankhede Stad.
Eden Gardens,0.5584415584415584,77,Eden Gardens
Sharjah Cricket Stadium,0.5714285714285714,28,Sharjah Cricket Stad.
Maharashtra Cricket Association Stadium,0.6363636363636364,22,Maharashtra CA Stad.
